chr,start,end,strand,five_prime,three_prime,five_prime_ID,three_prime_ID,intron_junction,obs.wt,obs.mut,total.reads.per.junction,pvalue,three.log.odds.ratio,three.mut.cluster.cov,three.wt.cluster.cov
chr21,28972258,28982315,-,28982315,28972258,clu_377,clu_392,chr21:28972258:28982315:-,0,9,9,0.35749642503575,Inf,341,27
chr21,25982477,26000014,-,26000014,25982477,clu_304,clu_313,chr21:25982477:26000014:-,1,17,18,NA,-Inf,24,1
chr21,25997416,26000014,-,26000014,25997416,clu_304,clu_314,chr21:25997416:26000014:-,0,7,7,NA,Inf,24,1
chr21,28971444,28981118,-,28981118,28971444,clu_375,clu_389,chr21:28971444:28981118:-,21,283,304,0.244587554124459,0.729122283018223,309,25
chr21,28879953,28882159,-,28882159,28879953,clu_335,clu_350,chr21:28879953:28882159:-,11,195,206,0.231277687223128,0.58690793022343,264,18
chr21,29062243,29062489,-,29062489,29062243,clu_486,clu_504,chr21:29062243:29062489:-,0,5,5,0.650293497065029,Inf,7591,646
chr21,14517041,14521149,-,14521149,14517041,clu_43,clu_50,chr21:14517041:14521149:-,21,185,206,0.32809671903281,0.353302259460093,284,37
chr21,28970742,28982315,-,28982315,28970742,clu_377,clu_388,chr21:28970742:28982315:-,3,7,10,0.198008019919801,-1.78578930224155,341,27
chr21,28971444,28972215,-,28972215,28971444,clu_374,clu_389,chr21:28971444:28972215:-,3,23,26,NA,-Inf,32,3
chr21,14486114,14498441,-,14498441,14486114,clu_31,clu_39,chr21:14486114:14498441:-,32,239,271,0.49909500904991,-Inf,245,32
chr21,29009692,29019210,-,29019210,29009692,clu_410,clu_412,chr21:29009692:29019210:-,1,29,30,0.304376956230438,0.637266722165489,213,13
chr21,28971444,28982315,-,28982315,28971444,clu_377,clu_389,chr21:28971444:28982315:-,1,12,13,0.984650153498465,-0.0530545629558896,341,27
chr21,14521221,14546204,-,14546204,14521221,clu_48,clu_53,chr21:14521221:14546204:-,37,292,329,0.981250187498125,-0.0136056520557786,300,38
chr21,29008123,29008394,-,29008394,29008123,clu_405,clu_407,chr21:29008123:29008394:-,6,27,33,0.02029979700203,-1.67991116909149,196,13
chr21,14489063,14498441,-,14498441,14489063,clu_31,clu_40,chr21:14489063:14498441:-,0,6,6,0.49909500904991,Inf,245,32
chr21,28972258,28981118,-,28981118,28972258,clu_375,clu_392,chr21:28972258:28981118:-,4,26,30,0.244587554124459,-0.729122283018223,309,25
chr21,28956948,28957331,-,28957331,28956948,clu_357,clu_373,chr21:28956948:28957331:-,2,33,35,NA,1.41706601978664,37,3
chr21,28967179,28970551,-,28970551,28967179,clu_370,clu_383,chr21:28967179:28970551:-,0,10,10,0.314686853131469,Inf,316,28
chr21,14525180,14546204,-,14546204,14525180,clu_48,clu_55,chr21:14525180:14546204:-,1,8,9,0.981250187498125,0.0136056520557785,300,38
chr21,28981299,28982315,-,28982315,28981299,clu_377,clu_394,chr21:28981299:28982315:-,23,313,336,0.257987420125799,0.66479882555569,341,27
chr21,28986237,28986726,-,28986726,28986237,clu_384,clu_399,chr21:28986237:28986726:-,2,47,49,NA,-Inf,61,2
chr21,28878333,28882159,-,28882159,28878333,clu_335,clu_349,chr21:28878333:28882159:-,7,69,76,0.231277687223128,-0.58690793022343,264,18
chr21,29006651,29008394,-,29008394,29006651,clu_405,clu_406,chr21:29006651:29008394:-,1,27,28,0.346926530734693,0.650844800869256,196,13
chr21,29008621,29019210,-,29019210,29008621,clu_410,clu_409,chr21:29008621:29019210:-,12,184,196,0.304376956230438,-0.637266722165489,213,13
