chr,start,end,strand,five_prime,three_prime,five_prime_ID,three_prime_ID,intron_junction,obs.wt,obs.mut,total.reads.per.junction,pvalue,three.log.odds.ratio,three.mut.cluster.cov,three.wt.cluster.cov
chr21,39345274,39348291,-,39348291,39345274,clu_1622,clu_1667,chr21:39345274:39348291:-,84,1111,1195,0.729862701372986,0.104261010324409,1254,96
chr21,39205302,39206107,-,39206107,39205302,clu_1558,clu_1607,chr21:39205302:39206107:-,1,4,5,NA,-0.485507815781701,17,3
chr21,39345274,39347915,-,39347915,39345274,clu_1621,clu_1667,chr21:39345274:39347915:-,0,9,9,NA,Inf,24,3
chr21,39202545,39206107,-,39206107,39202545,clu_1558,clu_1606,chr21:39202545:39206107:-,2,13,15,NA,0.485507815781701,17,3
chr21,39210929,39212665,-,39212665,39210929,clu_1562,clu_1612,chr21:39210929:39212665:-,1,12,13,NA,-Inf,18,1
chr21,39210147,39212665,-,39212665,39210147,clu_1562,clu_1611,chr21:39210147:39212665:-,0,6,6,NA,Inf,18,1
chr21,20257346,20258551,-,20258551,20257346,clu_182,clu_187,chr21:20257346:20258551:-,7,30,37,NA,0.762140052046897,34,9
chr21,42002961,42010251,-,42010251,42002961,clu_1821,clu_1850,chr21:42002961:42010251:-,0,15,15,NA,Inf,29,1
chr21,39423490,39429130,-,39429130,39423490,clu_1668,clu_1702,chr21:39423490:39429130:-,2,25,27,NA,-Inf,31,2
chr21,39347478,39348291,-,39348291,39347478,clu_1622,clu_1672,chr21:39347478:39348291:-,1,47,48,0.046419535804642,1.30813127221307,1254,96
chr21,39347478,39347915,-,39347915,39347478,clu_1621,clu_1672,chr21:39347478:39347915:-,1,5,6,NA,-0.641853886172395,24,3
chr21,39435573,39444134,-,39444134,39435573,clu_1672,clu_1714,chr21:39435573:39444134:-,1,4,5,NA,-1.6094379124341,24,2
chr21,39345958,39347915,-,39347915,39345958,clu_1621,clu_1669,chr21:39345958:39347915:-,2,10,12,NA,-1.02961941718116,24,3
chr21,39348451,39348544,-,39348544,39348451,clu_1625,clu_1677,chr21:39348451:39348544:-,78,1033,1111,0.216877831221688,0.974075729995946,1058,83
chr21,39347952,39348291,-,39348291,39347952,clu_1622,clu_1673,chr21:39347952:39348291:-,3,26,29,0.511384886151139,-0.42105836620046,1254,96
chr21,39429211,39444134,-,39444134,39429211,clu_1672,clu_1709,chr21:39429211:39444134:-,1,20,21,NA,1.6094379124341,24,2
