,chr,start,end,strand_1,five_prime,three_prime,clusterID_5p,clusterID_3p,start_match,end_match,start_diff,end_diff,fivep_diff,threep_diff,strand,verdict,gene,ensemblID,transcripts,constitutive.score,numTags,tags,relStart,relEnd,relStartTag,relEndTag,relStartTagClass,relEndTagClass,relStartTagAlt,relEndTagAlt,startClass,endClass,startDistance,endDistance,numTags_skipping,tags_skipping,curTag_skipping,relStartExon_skipping,relEndExon_skipping
3198,chr21,31671819,31705422,-,31705422,31671819,clu_667,clu_644,31672354,31705422,-535,0,0,535,-,cryptic_threeprime,SCAF4,ENSG00000155307.18,.,0.0,1,basic|appris_principal_3|CCDS,19.0,3.0,basic|appris_principal_3|CCDS,basic|appris_principal_3|CCDS,appris_principal_3,appris_principal_3,,,not_main_3_prime,main,-535.0,0.0,1,basic|appris_principal_3|CCDS,basic|appris_principal_3|CCDS,19.0,3.0
3323,chr21,31701918,31702243,-,31702243,31701918,clu_665,clu_665,31701918,31702243,0,0,0,0,-,annotated,SCAF4,.,ENST00000286835.11+ENST00000399804.5+ENST00000434667.3,1.0,1,basic|appris_principal_3|CCDS,5.0,5.0,basic|appris_principal_3|CCDS,basic|appris_principal_3|CCDS,appris_principal_3,appris_principal_3,,,main,main,0.0,0.0,1,basic|appris_principal_3|CCDS,basic|appris_principal_3|CCDS,5.0,5.0
3403,chr21,31685733,31686077,-,31686077,31685733,clu_651,clu_651,31685733,31685567,0,510,-510,0,-,cryptic_fiveprime,SCAF4,.,.,,1,basic|appris_principal_3|CCDS,16.0,17.0,basic|appris_principal_3|CCDS,basic|appris_principal_3|CCDS,appris_principal_3,appris_principal_3,,,main,not_main_5_prime,0.0,510.0,1,basic|appris_principal_3|CCDS,basic|appris_principal_3|CCDS,16.0,17.0
3433,chr21,31701165,31701775,-,31701775,31701165,clu_663,clu_663,31701171,31701775,-6,0,0,6,-,cryptic_threeprime,SCAF4,ENSG00000154734.15,.,0.0,1,basic|appris_principal_3|CCDS,6.0,6.0,basic|appris_principal_3|CCDS,basic|appris_principal_3|CCDS,appris_principal_3,appris_principal_3,,,not_main_3_prime,main,-6.0,0.0,1,basic|appris_principal_3|CCDS,basic|appris_principal_3|CCDS,6.0,6.0
3461,chr21,31696221,31696568,-,31696568,31696221,clu_661,clu_660,31696221,31696568,0,0,0,0,-,annotated,SCAF4,.,ENST00000286835.11+ENST00000399804.5+ENST00000434667.3,1.0,1,basic|appris_principal_3|CCDS,8.0,8.0,basic|appris_principal_3|CCDS,basic|appris_principal_3|CCDS,appris_principal_3,appris_principal_3,,,main,main,0.0,0.0,1,basic|appris_principal_3|CCDS,basic|appris_principal_3|CCDS,8.0,8.0
3581,chr21,31685174,31685397,-,31685397,31685174,clu_649,clu_648,31685174,31685397,0,0,0,0,-,annotated,SCAF4,ENSG00000159131.17,ENST00000399804.5,0.33,1,basic|appris_principal_3|CCDS,18.0,18.0,basic|appris_principal_3|CCDS,basic|appris_principal_3|CCDS,appris_principal_3,appris_principal_3,,,not_main_3_prime,main,-66.0,0.0,1,basic|appris_principal_3|CCDS,basic|appris_principal_3|CCDS,18.0,18.0
3923,chr21,31691930,31692348,-,31692348,31691930,clu_655,clu_655,31691930,31692348,0,0,0,0,-,annotated,SCAF4,.,ENST00000286835.11+ENST00000399804.5+ENST00000434667.3,1.0,1,basic|appris_principal_3|CCDS,13.0,13.0,basic|appris_principal_3|CCDS,basic|appris_principal_3|CCDS,appris_principal_3,appris_principal_3,,,main,main,0.0,0.0,1,basic|appris_principal_3|CCDS,basic|appris_principal_3|CCDS,13.0,13.0
3956,chr21,31701918,31702119,-,31702119,31701918,clu_664,clu_665,31701918,31702243,0,-124,124,0,-,cryptic_fiveprime,SCAF4,.,.,,1,basic|appris_principal_3|CCDS,5.0,5.0,basic|appris_principal_3|CCDS,basic|appris_principal_3|CCDS,appris_principal_3,appris_principal_3,,,main,not_main_5_prime,0.0,-124.0,1,basic|appris_principal_3|CCDS,basic|appris_principal_3|CCDS,5.0,5.0
3967,chr21,31692449,31693293,-,31693293,31692449,clu_656,clu_656,31692449,31693293,0,0,0,0,-,annotated,SCAF4,.,ENST00000286835.11+ENST00000399804.5+ENST00000434667.3,1.0,1,basic|appris_principal_3|CCDS,12.0,12.0,basic|appris_principal_3|CCDS,basic|appris_principal_3|CCDS,appris_principal_3,appris_principal_3,,,main,main,0.0,0.0,1,basic|appris_principal_3|CCDS,basic|appris_principal_3|CCDS,12.0,12.0
3989,chr21,31685484,31685567,-,31685567,31685484,clu_650,clu_650,31685484,31685567,0,0,0,0,-,annotated,SCAF4,.,ENST00000286835.11+ENST00000399804.5+ENST00000434667.3,1.0,1,basic|appris_principal_3|CCDS,17.0,17.0,basic|appris_principal_3|CCDS,basic|appris_principal_3|CCDS,appris_principal_3,appris_principal_3,,,main,main,0.0,0.0,1,basic|appris_principal_3|CCDS,basic|appris_principal_3|CCDS,17.0,17.0
4027,chr21,31672354,31685048,-,31685048,31672354,clu_648,clu_647,31672354,31685048,0,0,0,0,-,annotated,SCAF4,.,ENST00000286835.11+ENST00000399804.5+ENST00000434667.3,1.0,1,basic|appris_principal_3|CCDS,19.0,19.0,basic|appris_principal_3|CCDS,basic|appris_principal_3|CCDS,appris_principal_3,appris_principal_3,,,main,main,0.0,0.0,1,basic|appris_principal_3|CCDS,basic|appris_principal_3|CCDS,19.0,19.0
4039,chr21,31701162,31701775,-,31701775,31701162,clu_663,clu_662,31701171,31701775,-9,0,0,9,-,cryptic_threeprime,SCAF4,ENSG00000142192.21,.,0.0,1,basic|appris_principal_3|CCDS,6.0,6.0,basic|appris_principal_3|CCDS,basic|appris_principal_3|CCDS,appris_principal_3,appris_principal_3,,,not_main_3_prime,main,-9.0,0.0,1,basic|appris_principal_3|CCDS,basic|appris_principal_3|CCDS,6.0,6.0
4319,chr21,31685733,31688306,-,31688306,31685733,clu_652,clu_651,31685733,31688306,0,0,0,0,-,annotated,SCAF4,ENSG00000160193.11,ENST00000286835.11+ENST00000399804.5+ENST00000434667.3,1.0,1,basic|appris_principal_3|CCDS,16.0,16.0,basic|appris_principal_3|CCDS,basic|appris_principal_3|CCDS,appris_principal_3,appris_principal_3,,,main,main,0.0,0.0,1,basic|appris_principal_3|CCDS,basic|appris_principal_3|CCDS,16.0,16.0
4342,chr21,31696750,31700994,-,31700994,31696750,clu_662,clu_661,31696750,31700994,0,0,0,0,-,annotated,SCAF4,.,ENST00000286835.11+ENST00000399804.5+ENST00000434667.3,1.0,1,basic|appris_principal_3|CCDS,7.0,7.0,basic|appris_principal_3|CCDS,basic|appris_principal_3|CCDS,appris_principal_3,appris_principal_3,,,main,main,0.0,0.0,1,basic|appris_principal_3|CCDS,basic|appris_principal_3|CCDS,7.0,7.0
4435,chr21,31688464,31690796,-,31690796,31688464,clu_653,clu_653,31688464,31690796,0,0,0,0,-,annotated,SCAF4,.,ENST00000286835.11+ENST00000399804.5+ENST00000434667.3,1.0,1,basic|appris_principal_3|CCDS,15.0,15.0,basic|appris_principal_3|CCDS,basic|appris_principal_3|CCDS,appris_principal_3,appris_principal_3,,,main,main,0.0,0.0,1,basic|appris_principal_3|CCDS,basic|appris_principal_3|CCDS,15.0,15.0
4526,chr21,31705467,31706273,-,31706273,31705467,clu_668,clu_668,31705467,31706273,0,0,0,0,-,annotated,SCAF4,.,ENST00000286835.11+ENST00000399804.5,1.0,1,basic|appris_principal_3|CCDS,2.0,2.0,basic|appris_principal_3|CCDS,basic|appris_principal_3|CCDS,appris_principal_3,appris_principal_3,,,main,main,0.0,0.0,1,basic|appris_principal_3|CCDS,basic|appris_principal_3|CCDS,2.0,2.0
2225,chr21,37230818,37232376,-,37232376,37230818,clu_1423,clu_1463,37232451,37232376,-1633,0,0,1633,-,cryptic_threeprime,VPS26C,ENSG00000154719.13,.,0.0,1,basic|MANE_Select|appris_principal_1|CCDS,4.0,5.0,basic|MANE_Select|appris_principal_1|CCDS,basic|MANE_Select|appris_principal_1|CCDS,appris_principal_1,appris_principal_1,,,not_main_3_prime,main,-1633.0,0.0,1,basic|MANE_Select|appris_principal_1|CCDS,basic|MANE_Select|appris_principal_1|CCDS,4.0,5.0
2367,chr21,37266847,37267237,-,37267237,37266847,clu_1435,clu_1475,37240639,37267237,26208,0,0,-26208,-,cryptic_threeprime,VPS26C,ENSG00000185917.13,.,0.0,1,basic|MANE_Select|appris_principal_1|CCDS,1.0,1.0,basic|MANE_Select|appris_principal_1|CCDS,basic|MANE_Select|appris_principal_1|CCDS,appris_principal_1,appris_principal_1,,,not_main_3_prime,main,26208.0,0.0,1,basic|MANE_Select|appris_principal_1|CCDS,basic|MANE_Select|appris_principal_1|CCDS,1.0,1.0
2381,chr21,37261550,37267237,-,37267237,37261550,clu_1435,clu_1473,37240639,37267237,20911,0,0,-20911,-,cryptic_threeprime,VPS26C,ENSG00000185917.13,.,0.0,1,basic|MANE_Select|appris_principal_1|CCDS,1.0,1.0,basic|MANE_Select|appris_principal_1|CCDS,basic|MANE_Select|appris_principal_1|CCDS,appris_principal_1,appris_principal_1,,,not_main_3_prime,main,20911.0,0.0,1,basic|MANE_Select|appris_principal_1|CCDS,basic|MANE_Select|appris_principal_1|CCDS,1.0,1.0
2406,chr21,37231590,37232376,-,37232376,37231590,clu_1423,clu_1465,37232451,37232376,-861,0,0,861,-,cryptic_threeprime,VPS26C,ENSG00000154719.13,.,0.0,1,basic|MANE_Select|appris_principal_1|CCDS,4.0,5.0,basic|MANE_Select|appris_principal_1|CCDS,basic|MANE_Select|appris_principal_1|CCDS,appris_principal_1,appris_principal_1,,,not_main_3_prime,main,-861.0,0.0,1,basic|MANE_Select|appris_principal_1|CCDS,basic|MANE_Select|appris_principal_1|CCDS,4.0,5.0
2472,chr21,37238609,37240531,-,37240531,37238609,clu_1429,clu_1470,37238609,37240495,0,36,-36,0,-,cryptic_fiveprime,VPS26C,ENSG00000185658.13,.,,1,basic|MANE_Select|appris_principal_1|CCDS,2.0,2.0,basic|MANE_Select|appris_principal_1|CCDS,basic|MANE_Select|appris_principal_1|CCDS,appris_principal_1,appris_principal_1,,,main,not_main_5_prime,0.0,36.0,1,basic|MANE_Select|appris_principal_1|CCDS,basic|MANE_Select|appris_principal_1|CCDS,2.0,2.0
2474,chr21,37224544,37227653,-,37227653,37224544,clu_1419,clu_1454,37225626,37227653,-1082,0,0,1082,-,cryptic_threeprime,VPS26C,ENSG00000154734.15,.,0.0,1,basic|MANE_Select|appris_principal_1|CCDS,7.0,7.0,basic|MANE_Select|appris_principal_1|CCDS,basic|MANE_Select|appris_principal_1|CCDS,appris_principal_1,appris_principal_1,,,not_main_3_prime,main,-1082.0,0.0,1,basic|MANE_Select|appris_principal_1|CCDS,basic|MANE_Select|appris_principal_1|CCDS,7.0,7.0
2529,chr21,37224819,37238459,-,37238459,37224819,clu_1426,clu_1456,37225626,37238459,-807,0,0,807,-,cryptic_threeprime,VPS26C,ENSG00000157578.13,.,0.0,1,basic|MANE_Select|appris_principal_1|CCDS,7.0,3.0,basic|MANE_Select|appris_principal_1|CCDS,basic|MANE_Select|appris_principal_1|CCDS,appris_principal_1,appris_principal_1,,,not_main_3_prime,main,-807.0,0.0,1,basic|MANE_Select|appris_principal_1|CCDS,basic|MANE_Select|appris_principal_1|CCDS,7.0,3.0
2543,chr21,37232451,37240495,-,37240495,37232451,clu_1428,clu_1467,37232451,37240495,0,0,0,0,-,novel annotated pair,VPS26C,ENSG00000198862.14,ENST00000309117.11+ENST00000476950.5,1.0,1,basic|MANE_Select|appris_principal_1|CCDS,4.0,2.0,basic|MANE_Select|appris_principal_1|CCDS,basic|MANE_Select|appris_principal_1|CCDS,appris_principal_1,appris_principal_1,,,main,main,0.0,0.0,1,basic|MANE_Select|appris_principal_1|CCDS,basic|MANE_Select|appris_principal_1|CCDS,4.0,2.0
2562,chr21,37238609,37267237,-,37267237,37238609,clu_1435,clu_1470,37238609,37267237,0,0,0,0,-,annotated,VPS26C,ENSG00000185917.13,ENST00000309117.11+ENST00000398998.1+ENST00000476950.5,0.75,1,basic|MANE_Select|appris_principal_1|CCDS,2.0,1.0,basic|MANE_Select|appris_principal_1|CCDS,basic|MANE_Select|appris_principal_1|CCDS,appris_principal_1,appris_principal_1,,,main,main,0.0,0.0,1,basic|MANE_Select|appris_principal_1|CCDS,basic|MANE_Select|appris_principal_1|CCDS,2.0,1.0
2651,chr21,37225626,37226121,-,37226121,37225626,clu_1418,clu_1458,37225626,37227653,0,-1532,1532,0,-,cryptic_fiveprime,VPS26C,ENSG00000275464.4,.,,1,basic|MANE_Select|appris_principal_1|CCDS,7.0,7.0,basic|MANE_Select|appris_principal_1|CCDS,basic|MANE_Select|appris_principal_1|CCDS,appris_principal_1,appris_principal_1,,,main,not_main_5_prime,0.0,-1532.0,1,basic|MANE_Select|appris_principal_1|CCDS,basic|MANE_Select|appris_principal_1|CCDS,7.0,7.0
2716,chr21,37226185,37227653,-,37227653,37226185,clu_1419,clu_1459,37225626,37227653,559,0,0,-559,-,cryptic_threeprime,VPS26C,ENSG00000142192.21,.,0.0,1,basic|MANE_Select|appris_principal_1|CCDS,7.0,7.0,basic|MANE_Select|appris_principal_1|CCDS,basic|MANE_Select|appris_principal_1|CCDS,appris_principal_1,appris_principal_1,,,not_main_3_prime,main,559.0,0.0,1,basic|MANE_Select|appris_principal_1|CCDS,basic|MANE_Select|appris_principal_1|CCDS,7.0,7.0
2820,chr21,37240639,37267237,-,37267237,37240639,clu_1435,clu_1471,37240639,37267237,0,0,0,0,-,annotated,VPS26C,ENSG00000185917.13,ENST00000309117.11+ENST00000476950.5,0.5,1,basic|MANE_Select|appris_principal_1|CCDS,1.0,1.0,basic|MANE_Select|appris_principal_1|CCDS,basic|MANE_Select|appris_principal_1|CCDS,appris_principal_1,appris_principal_1,,,main,main,0.0,0.0,1,basic|MANE_Select|appris_principal_1|CCDS,basic|MANE_Select|appris_principal_1|CCDS,1.0,1.0
2832,chr21,37232451,37267237,-,37267237,37232451,clu_1435,clu_1467,37232451,37267237,0,0,0,0,-,annotated,VPS26C,ENSG00000159079.19,ENST00000309117.11+ENST00000398998.1+ENST00000399001.5+ENST00000476950.5,1.0,1,basic|MANE_Select|appris_principal_1|CCDS,4.0,1.0,basic|MANE_Select|appris_principal_1|CCDS,basic|MANE_Select|appris_principal_1|CCDS,appris_principal_1,appris_principal_1,,,main,main,0.0,0.0,1,basic|MANE_Select|appris_principal_1|CCDS,basic|MANE_Select|appris_principal_1|CCDS,4.0,1.0
2874,chr21,37231975,37232376,-,37232376,37231975,clu_1423,clu_1466,37232451,37232376,-476,0,0,476,-,cryptic_threeprime,VPS26C,ENSG00000157538.14,.,0.0,1,basic|MANE_Select|appris_principal_1|CCDS,4.0,5.0,basic|MANE_Select|appris_principal_1|CCDS,basic|MANE_Select|appris_principal_1|CCDS,appris_principal_1,appris_principal_1,,,not_main_3_prime,main,-476.0,0.0,1,basic|MANE_Select|appris_principal_1|CCDS,basic|MANE_Select|appris_principal_1|CCDS,4.0,5.0
2928,chr21,37228373,37232376,-,37232376,37228373,clu_1423,clu_1462,37228373,37232376,0,0,0,0,-,annotated,VPS26C,ENSG00000157538.14,ENST00000309117.11+ENST00000398998.1+ENST00000399001.5+ENST00000476950.5,1.0,1,basic|MANE_Select|appris_principal_1|CCDS,5.0,5.0,basic|MANE_Select|appris_principal_1|CCDS,basic|MANE_Select|appris_principal_1|CCDS,appris_principal_1,appris_principal_1,,,main,main,0.0,0.0,1,basic|MANE_Select|appris_principal_1|CCDS,basic|MANE_Select|appris_principal_1|CCDS,5.0,5.0
2930,chr21,37227797,37228222,-,37228222,37227797,clu_1420,clu_1460,37227806,37228222,-9,0,0,9,-,cryptic_threeprime,VPS26C,ENSG00000160294.11,.,0.0,1,basic|MANE_Select|appris_principal_1|CCDS,6.0,6.0,basic|MANE_Select|appris_principal_1|CCDS,basic|MANE_Select|appris_principal_1|CCDS,appris_principal_1,appris_principal_1,,,not_main_3_prime,main,-9.0,0.0,1,basic|MANE_Select|appris_principal_1|CCDS,basic|MANE_Select|appris_principal_1|CCDS,6.0,6.0
2958,chr21,37223834,37267237,-,37267237,37223834,clu_1435,clu_1449,37225626,37267237,-1792,0,0,1792,-,cryptic_threeprime,VPS26C,ENSG00000159079.19,.,0.0,1,basic|MANE_Select|appris_principal_1|CCDS,7.0,1.0,basic|MANE_Select|appris_principal_1|CCDS,basic|MANE_Select|appris_principal_1|CCDS,appris_principal_1,appris_principal_1,,,not_main_3_prime,main,-1792.0,0.0,1,basic|MANE_Select|appris_principal_1|CCDS,basic|MANE_Select|appris_principal_1|CCDS,7.0,1.0
3024,chr21,37238609,37240495,-,37240495,37238609,clu_1428,clu_1470,37238609,37240495,0,0,0,0,-,annotated,VPS26C,ENSG00000160294.11,ENST00000309117.11+ENST00000476950.5,1.0,1,basic|MANE_Select|appris_principal_1|CCDS,2.0,2.0,basic|MANE_Select|appris_principal_1|CCDS,basic|MANE_Select|appris_principal_1|CCDS,appris_principal_1,appris_principal_1,,,main,main,0.0,0.0,1,basic|MANE_Select|appris_principal_1|CCDS,basic|MANE_Select|appris_principal_1|CCDS,2.0,2.0
3224,chr21,37225245,37227653,-,37227653,37225245,clu_1419,clu_1457,37225626,37227653,-381,0,0,381,-,cryptic_threeprime,VPS26C,ENSG00000142192.21,.,0.0,1,basic|MANE_Select|appris_principal_1|CCDS,7.0,7.0,basic|MANE_Select|appris_principal_1|CCDS,basic|MANE_Select|appris_principal_1|CCDS,appris_principal_1,appris_principal_1,,,not_main_3_prime,main,-381.0,0.0,1,basic|MANE_Select|appris_principal_1|CCDS,basic|MANE_Select|appris_principal_1|CCDS,7.0,7.0
3464,chr21,37232451,37233361,-,37233361,37232451,clu_1424,clu_1467,37232451,37233361,0,0,0,0,-,annotated,VPS26C,.,ENST00000309117.11+ENST00000398998.1,1.0,1,basic|MANE_Select|appris_principal_1|CCDS,4.0,4.0,basic|MANE_Select|appris_principal_1|CCDS,basic|MANE_Select|appris_principal_1|CCDS,appris_principal_1,appris_principal_1,,,main,main,0.0,0.0,1,basic|MANE_Select|appris_principal_1|CCDS,basic|MANE_Select|appris_principal_1|CCDS,4.0,4.0
3483,chr21,37233442,37240495,-,37240495,37233442,clu_1428,clu_1468,37233442,37240495,0,0,0,0,-,novel annotated pair,VPS26C,ENSG00000156261.13,ENST00000309117.11,0.5,1,basic|MANE_Select|appris_principal_1|CCDS,3.0,2.0,basic|MANE_Select|appris_principal_1|CCDS,basic|MANE_Select|appris_principal_1|CCDS,appris_principal_1,appris_principal_1,,,main,main,0.0,0.0,1,basic|MANE_Select|appris_principal_1|CCDS,basic|MANE_Select|appris_principal_1|CCDS,3.0,2.0
3502,chr21,37227806,37228222,-,37228222,37227806,clu_1420,clu_1461,37227806,37228222,0,0,0,0,-,annotated,VPS26C,ENSG00000156299.13,ENST00000309117.11+ENST00000398998.1+ENST00000399001.5+ENST00000476950.5,1.0,1,basic|MANE_Select|appris_principal_1|CCDS,6.0,6.0,basic|MANE_Select|appris_principal_1|CCDS,basic|MANE_Select|appris_principal_1|CCDS,appris_principal_1,appris_principal_1,,,main,main,0.0,0.0,1,basic|MANE_Select|appris_principal_1|CCDS,basic|MANE_Select|appris_principal_1|CCDS,6.0,6.0
3602,chr21,37220323,37227653,-,37227653,37220323,clu_1419,clu_1443,37221597,37227653,-1274,0,0,1274,-,cryptic_threeprime,VPS26C,ENSG00000142192.21,.,0.0,1,basic|MANE_Select|appris_principal_1|CCDS,7.0,7.0,basic|MANE_Select|appris_principal_1|CCDS,basic|MANE_Select|appris_principal_1|CCDS,appris_principal_1,appris_principal_1,,,not_main_3_prime,main,-5303.0,0.0,1,basic|MANE_Select|appris_principal_1|CCDS,basic|MANE_Select|appris_principal_1|CCDS,7.0,7.0
3718,chr21,37227806,37228241,-,37228241,37227806,clu_1421,clu_1461,37227806,37228222,0,19,-19,0,-,cryptic_fiveprime,VPS26C,.,.,,1,basic|MANE_Select|appris_principal_1|CCDS,6.0,6.0,basic|MANE_Select|appris_principal_1|CCDS,basic|MANE_Select|appris_principal_1|CCDS,appris_principal_1,appris_principal_1,,,main,not_main_5_prime,0.0,19.0,1,basic|MANE_Select|appris_principal_1|CCDS,basic|MANE_Select|appris_principal_1|CCDS,6.0,6.0
3742,chr21,37233442,37267237,-,37267237,37233442,clu_1435,clu_1468,37233442,37267237,0,0,0,0,-,novel annotated pair,VPS26C,ENSG00000159079.19,ENST00000309117.11+ENST00000398998.1,0.5,1,basic|MANE_Select|appris_principal_1|CCDS,3.0,1.0,basic|MANE_Select|appris_principal_1|CCDS,basic|MANE_Select|appris_principal_1|CCDS,appris_principal_1,appris_principal_1,,,main,main,0.0,0.0,1,basic|MANE_Select|appris_principal_1|CCDS,basic|MANE_Select|appris_principal_1|CCDS,3.0,1.0
3880,chr21,37225626,37227653,-,37227653,37225626,clu_1419,clu_1458,37225626,37227653,0,0,0,0,-,annotated,VPS26C,ENSG00000159086.15,ENST00000309117.11+ENST00000398998.1+ENST00000399001.5+ENST00000476950.5,1.0,1,basic|MANE_Select|appris_principal_1|CCDS,7.0,7.0,basic|MANE_Select|appris_principal_1|CCDS,basic|MANE_Select|appris_principal_1|CCDS,appris_principal_1,appris_principal_1,,,main,main,0.0,0.0,1,basic|MANE_Select|appris_principal_1|CCDS,basic|MANE_Select|appris_principal_1|CCDS,7.0,7.0
4117,chr21,37261937,37267237,-,37267237,37261937,clu_1435,clu_1474,37240639,37267237,21298,0,0,-21298,-,cryptic_threeprime,VPS26C,ENSG00000159079.19,.,0.0,1,basic|MANE_Select|appris_principal_1|CCDS,1.0,1.0,basic|MANE_Select|appris_principal_1|CCDS,basic|MANE_Select|appris_principal_1|CCDS,appris_principal_1,appris_principal_1,,,not_main_3_prime,main,21298.0,0.0,1,basic|MANE_Select|appris_principal_1|CCDS,basic|MANE_Select|appris_principal_1|CCDS,1.0,1.0
4159,chr21,37233442,37238459,-,37238459,37233442,clu_1426,clu_1468,37233442,37238459,0,0,0,0,-,annotated,VPS26C,ENSG00000157578.13,ENST00000309117.11+ENST00000398998.1,0.67,1,basic|MANE_Select|appris_principal_1|CCDS,3.0,3.0,basic|MANE_Select|appris_principal_1|CCDS,basic|MANE_Select|appris_principal_1|CCDS,appris_principal_1,appris_principal_1,,,main,main,0.0,0.0,1,basic|MANE_Select|appris_principal_1|CCDS,basic|MANE_Select|appris_principal_1|CCDS,3.0,3.0
