"chr" "start" "end" "strand" "five_prime" "three_prime" "five_prime_ID" "three_prime_ID" "intron_junction" "obs.wt" "obs.mut" "total.reads.per.junction" "pvalue" "five.log.odds.ratio" "five.mut.cluster.cov" "five.wt.cluster.cov" "strand_1" "clusterID_5p" "clusterID_3p" "start_match" "end_match" "start_diff" "end_diff" "fivep_diff" "threep_diff" "verdict" "gene" "ensemblID" "transcripts" "constitutive.score" "numTags" "tags" "relStart" "relEnd" "relStartTag" "relEndTag" "relStartTagClass" "relEndTagClass" "relStartTagAlt" "relEndTagAlt" "startClass" "endClass" "startDistance" "endDistance" "numTags_skipping" "tags_skipping" "curTag_skipping" "relStartExon_skipping" "relEndExon_skipping" "fivep_class" "threep_class" "fivep_distance" "threep_distance" "wt.psi" "mut.psi" "dPSI"
"11" "chr21" 33595836 33599149 "-" 33599149 33595836 "clu_1045" "clu_1060" "chr21:33595836:33599149:-" 1 4 5 1 -0.766478453645495 400 47 "-" "clu_1045" "clu_1060" 33595836 33599149 0 0 0 0 "novel annotated pair" "CRYZL1" "ENSG00000160213.7" "ENST00000290244.9+ENST00000361534.6+ENST00000381540.7+ENST00000381554.8" 1 1 "non_canonical_U12|basic|MANE_Select|appris_principal_1|CCDS" 10 9 "non_canonical_U12|basic|MANE_Select|appris_principal_1|CCDS" "non_canonical_U12|basic|MANE_Select|appris_principal_1|CCDS" "appris_principal_1" "appris_principal_1" "" "" "main" "main" 0 0 1 "non_canonical_U12|basic|MANE_Select|appris_principal_1|CCDS" "non_canonical_U12|basic|MANE_Select|appris_principal_1|CCDS" 10 9 "main" "main" 0 0 2.12765957446809 1 -1.12765957446809
"12" "chr21" 33595612 33595728 "-" 33595728 33595612 "clu_1031" "clu_1059" "chr21:33595612:33595728:-" 4 20 24 NA 1.04982212449868 27 8 "-" "clu_1031" "clu_1059" 33595614 33595730 -2 -2 2 2 "cryptic_unanchored" "CRYZL1" "ENSG00000183527.11" "" 1 1 "non_canonical_U12|basic|MANE_Select|appris_principal_1|CCDS" 10 11 "non_canonical_U12|basic|MANE_Select|appris_principal_1|CCDS" "non_canonical_U12|basic|MANE_Select|appris_principal_1|CCDS" "appris_principal_1" "appris_principal_1" "" "" "not_main_3_prime" "not_main_5_prime" -224 -2 1 "non_canonical_U12|basic|MANE_Select|appris_principal_1|CCDS" "non_canonical_U12|basic|MANE_Select|appris_principal_1|CCDS" 10 11 "not_main_5_prime" "not_main_3_prime" 2 224 50 74.0740740740741 24.0740740740741
"13" "chr21" 33912399 33915727 "-" 33915727 33912399 "clu_1105" "clu_1135" "chr21:33912399:33915727:-" 0 9 9 0.182278177218228 Inf 6248 668 "-" "clu_1105" "clu_1135" 33912399 33915727 0 0 0 0 "novel annotated pair" "AP000311.1" "ENSG00000156261.13" "ENST00000290299.7+ENST00000429238.2" 1 1 "mRNA_end_NF|cds_end_NF|basic|appris_principal_1|readthrough_transcript" 3 2 "mRNA_end_NF|cds_end_NF|basic|appris_principal_1|readthrough_transcript" "mRNA_end_NF|cds_end_NF|basic|appris_principal_1|readthrough_transcript" "appris_principal_1" "appris_principal_1" "" "" "main" "main" 0 0 1 "mRNA_end_NF|cds_end_NF|basic|appris_principal_1|readthrough_transcript" "mRNA_end_NF|cds_end_NF|basic|appris_principal_1|readthrough_transcript" 3 2 "main" "main" 0 0 0 0.14404609475032 0.14404609475032
"14" "chr21" 33591211 33595734 "-" 33595734 33591211 "clu_1037" "clu_1052" "chr21:33591211:33595734:-" 1 10 11 0.982420175798242 0.0268272422331443 341 35 "-" "clu_1037" "clu_1052" 33591211 33595730 0 4 -4 0 "cryptic_fiveprime" "CRYZL1" "ENSG00000159055.4" "." NA 1 "non_canonical_U12|basic|MANE_Select|appris_principal_1|CCDS" 11 11 "non_canonical_U12|basic|MANE_Select|appris_principal_1|CCDS" "non_canonical_U12|basic|MANE_Select|appris_principal_1|CCDS" "appris_principal_1" "appris_principal_1" "" "" "not_main_3_prime" "not_main_5_prime" 4 4 1 "non_canonical_U12|basic|MANE_Select|appris_principal_1|CCDS" "non_canonical_U12|basic|MANE_Select|appris_principal_1|CCDS" 11 11 "not_main_5_prime" "not_main_3_prime" -4 -4 2.85714285714286 2.93255131964809 0.0754084625052367
"15" "chr21" 33589805 33595558 "-" 33595558 33589805 "clu_1022" "clu_1048" "chr21:33589805:33595558:-" 1 5 6 NA -0.587786664902119 14 2 "-" "clu_1022" "clu_1048" 33589921 33595730 -116 -172 172 116 "cryptic_unanchored" "CRYZL1" "ENSG00000241837.7" "" 1 1 "non_canonical_U12|basic|MANE_Select|appris_principal_1|CCDS" 12 11 "non_canonical_U12|basic|MANE_Select|appris_principal_1|CCDS" "non_canonical_U12|basic|MANE_Select|appris_principal_1|CCDS" "appris_principal_1" "appris_principal_1" "" "" "not_main_3_prime" "not_main_5_prime" -116 -172 1 "non_canonical_U12|basic|MANE_Select|appris_principal_1|CCDS" "non_canonical_U12|basic|MANE_Select|appris_principal_1|CCDS" 12 11 "not_main_5_prime" "not_main_3_prime" 172 116 50 35.7142857142857 -14.2857142857143
"16" "chr21" 33631557 33641178 "-" 33641178 33631557 "clu_1059" "clu_1085" "chr21:33631557:33641178:-" 0 6 6 0.597644023559764 Inf 540 58 "-" "clu_1059" "clu_1085" 33631557 33641178 0 0 0 0 "annotated" "CRYZL1" "ENSG00000275464.4" "ENST00000361534.6" 1 1 "non_canonical_U12|basic|MANE_Select|appris_principal_1|CCDS" 1 1 "non_canonical_U12|basic|MANE_Select|appris_principal_1|CCDS" "non_canonical_U12|basic|MANE_Select|appris_principal_1|CCDS" "appris_principal_1" "appris_principal_1" "" "" "main" "not_main_5_prime" 0 -502 1 "non_canonical_U12|basic|MANE_Select|appris_principal_1|CCDS" "non_canonical_U12|basic|MANE_Select|appris_principal_1|CCDS" 1 1 "not_main_5_prime" "main" 502 0 0 1.11111111111111 1.11111111111111
"17" "chr21" 33904021 33907340 "-" 33907340 33904021 "clu_1089" "clu_1121" "chr21:33904021:33907340:-" 672 6401 7073 0.557444425555744 0.217069239357814 6470 681 "-" "clu_1089" "clu_1121" 33904021 33907340 0 0 0 0 "annotated" "ATP5PO" "ENSG00000205581.11" "ENST00000290299.7" 1 1 "basic|MANE_Select|appris_principal_1|CCDS" 5 5 "basic|MANE_Select|appris_principal_1|CCDS" "basic|MANE_Select|appris_principal_1|CCDS" "appris_principal_1" "appris_principal_1" "" "" "main" "main" 0 0 1 "basic|MANE_Select|appris_principal_1|CCDS" "basic|MANE_Select|appris_principal_1|CCDS" 5 5 "main" "main" 0 0 98.6784140969163 98.9335394126739 0.255125315757581
"18" "chr21" 33622068 33631485 "-" 33631485 33622068 "clu_1057" "clu_1081" "chr21:33622068:33631485:-" 3 4 7 0.394936050639494 -1.98566620035724 577 62 "-" "clu_1057" "clu_1081" 33622068 33631485 0 0 0 0 "novel annotated pair" "CRYZL1" "ENSG00000160255.18" "ENST00000290244.9+ENST00000361534.6+ENST00000381540.7+ENST00000381554.8+ENST00000413017.2+ENST00000445393.5" 1 1 "non_canonical_U12|basic|MANE_Select|appris_principal_1|CCDS" 3 2 "non_canonical_U12|basic|MANE_Select|appris_principal_1|CCDS" "non_canonical_U12|basic|MANE_Select|appris_principal_1|CCDS" "appris_principal_1" "appris_principal_1" "" "" "main" "main" 0 0 1 "non_canonical_U12|basic|MANE_Select|appris_principal_1|CCDS" "non_canonical_U12|basic|MANE_Select|appris_principal_1|CCDS" 3 2 "main" "main" 0 0 4.83870967741935 0.693240901213172 -4.14546877620618
"19" "chr21" 33914500 33915727 "-" 33915727 33914500 "clu_1105" "clu_1138" "chr21:33914500:33915727:-" 625 5897 6522 0.501384986150138 -Inf 5905 625 "-" "clu_1105" "clu_1138" 33914500 33915727 0 0 0 0 "annotated" "AP000311.1" "ENSG00000159055.4" "ENST00000290299.7+ENST00000429238.2" 1 1 "mRNA_end_NF|cds_end_NF|basic|appris_principal_1|readthrough_transcript" 2 2 "mRNA_end_NF|cds_end_NF|basic|appris_principal_1|readthrough_transcript" "mRNA_end_NF|cds_end_NF|basic|appris_principal_1|readthrough_transcript" "appris_principal_1" "appris_principal_1" "" "" "main" "main" 0 0 1 "mRNA_end_NF|cds_end_NF|basic|appris_principal_1|readthrough_transcript" "mRNA_end_NF|cds_end_NF|basic|appris_principal_1|readthrough_transcript" 2 2 "main" "main" 0 0 100 99.8645215918713 -0.135478408128705
"20" "chr21" 33909211 33912288 "-" 33912288 33909211 "clu_1097" "clu_1132" "chr21:33909211:33912288:-" 666 6255 6921 0.583714162858371 -Inf 6260 666 "-" "clu_1097" "clu_1132" 33909211 33912288 0 0 0 0 "annotated" "ATP5PO" "ENSG00000159131.17" "ENST00000290299.7+ENST00000429238.2" 1 1 "basic|MANE_Select|appris_principal_1|CCDS" 3 3 "basic|MANE_Select|appris_principal_1|CCDS" "basic|MANE_Select|appris_principal_1|CCDS" "appris_principal_1" "appris_principal_1" "" "" "main" "main" 0 0 1 "basic|MANE_Select|appris_principal_1|CCDS" "basic|MANE_Select|appris_principal_1|CCDS" 3 3 "main" "main" 0 0 100 99.9201277955272 -0.0798722044728351
"21" "chr21" 33582055 33582164 "-" 33582164 33582055 "clu_1012" "clu_1041" "chr21:33582055:33582164:-" 1 15 16 NA 1.09861228866811 20 2 "-" "clu_1012" "clu_1041" 33582055 33582164 0 0 0 0 "annotated" "DONSON" "ENSG00000198862.14" "ENST00000303071.10+ENST00000303113.10+ENST00000432378.5+ENST00000453626.5" 1 1 "basic|MANE_Select|appris_principal_2|CCDS" 6 6 "basic|MANE_Select|appris_principal_2|CCDS" "basic|MANE_Select|appris_principal_2|CCDS" "appris_principal_2" "appris_principal_2" "" "" "main" "main" 0 0 1 "basic|MANE_Select|appris_principal_2|CCDS" "basic|MANE_Select|appris_principal_2|CCDS" 6 6 "main" "main" 0 0 50 75 25
"22" "chr21" 33631557 33633645 "-" 33633645 33631557 "clu_1058" "clu_1085" "chr21:33631557:33633645:-" 2 19 21 0.980070199298007 0.0208934475882776 540 58 "-" "clu_1058" "clu_1085" 33631557 33631485 0 2160 -2160 0 "cryptic_fiveprime" "CRYZL1" "ENSG00000160294.11" "." 0 1 "non_canonical_U12|basic|MANE_Select|appris_principal_1|CCDS" 1 2 "non_canonical_U12|basic|MANE_Select|appris_principal_1|CCDS" "non_canonical_U12|basic|MANE_Select|appris_principal_1|CCDS" "appris_principal_1" "appris_principal_1" "" "" "main" "not_main_5_prime" 0 2160 1 "non_canonical_U12|basic|MANE_Select|appris_principal_1|CCDS" "non_canonical_U12|basic|MANE_Select|appris_principal_1|CCDS" 1 2 "not_main_5_prime" "main" -2160 0 3.44827586206897 3.51851851851852 0.0702426564495533
"23" "chr21" 33904021 33909081 "-" 33909081 33904021 "clu_1094" "clu_1121" "chr21:33904021:33909081:-" 1 4 5 0.98250017499825 -0.865925798995335 6470 681 "-" "clu_1094" "clu_1121" 33904021 33909081 0 0 0 0 "novel annotated pair" "ATP5PO" "ENSG00000173638.19" "ENST00000290299.7" 0.5 1 "basic|MANE_Select|appris_principal_1|CCDS" 5 4 "basic|MANE_Select|appris_principal_1|CCDS" "basic|MANE_Select|appris_principal_1|CCDS" "appris_principal_1" "appris_principal_1" "" "" "main" "main" 0 0 1 "basic|MANE_Select|appris_principal_1|CCDS" "basic|MANE_Select|appris_principal_1|CCDS" 5 4 "main" "main" 0 0 0.146842878120411 0.0618238021638331 -0.0850190759565781
"24" "chr21" 33912399 33914449 "-" 33914449 33912399 "clu_1099" "clu_1135" "chr21:33912399:33914449:-" 668 6239 6907 0.182278177218228 -Inf 6248 668 "-" "clu_1099" "clu_1135" 33912399 33914449 0 0 0 0 "annotated" "AP000311.1" "ENSG00000185917.13" "ENST00000290299.7+ENST00000429238.2" 1 1 "mRNA_end_NF|cds_end_NF|basic|appris_principal_1|readthrough_transcript" 3 3 "mRNA_end_NF|cds_end_NF|basic|appris_principal_1|readthrough_transcript" "mRNA_end_NF|cds_end_NF|basic|appris_principal_1|readthrough_transcript" "appris_principal_1" "appris_principal_1" "" "" "main" "main" 0 0 1 "mRNA_end_NF|cds_end_NF|basic|appris_principal_1|readthrough_transcript" "mRNA_end_NF|cds_end_NF|basic|appris_principal_1|readthrough_transcript" 3 3 "main" "main" 0 0 100 99.8559539052497 -0.144046094750323
"25" "chr21" 33631557 33641680 "-" 33641680 33631557 "clu_1060" "clu_1085" "chr21:33631557:33641680:-" 56 515 571 0.645783542164578 -0.306913434379668 540 58 "-" "clu_1060" "clu_1085" 33631557 33641680 0 0 0 0 "annotated" "CRYZL1" "ENSG00000156261.13" "ENST00000290244.9+ENST00000361534.6+ENST00000381540.7+ENST00000381554.8+ENST00000413017.2+ENST00000445393.5" 0.86 1 "non_canonical_U12|basic|MANE_Select|appris_principal_1|CCDS" 1 1 "non_canonical_U12|basic|MANE_Select|appris_principal_1|CCDS" "non_canonical_U12|basic|MANE_Select|appris_principal_1|CCDS" "appris_principal_1" "appris_principal_1" "" "" "main" "main" 0 0 1 "non_canonical_U12|basic|MANE_Select|appris_principal_1|CCDS" "non_canonical_U12|basic|MANE_Select|appris_principal_1|CCDS" 1 1 "main" "main" 0 0 96.551724137931 95.3703703703704 -1.18135376756067
"26" "chr21" 33622068 33624682 "-" 33624682 33622068 "clu_1056" "clu_1081" "chr21:33622068:33624682:-" 59 573 632 0.394936050639494 1.98566620035724 577 62 "-" "clu_1056" "clu_1081" 33622068 33624682 0 0 0 0 "annotated" "CRYZL1" "ENSG00000241837.7" "ENST00000290244.9+ENST00000361534.6+ENST00000381540.7+ENST00000381554.8+ENST00000413017.2+ENST00000445393.5" 1 1 "non_canonical_U12|basic|MANE_Select|appris_principal_1|CCDS" 3 3 "non_canonical_U12|basic|MANE_Select|appris_principal_1|CCDS" "non_canonical_U12|basic|MANE_Select|appris_principal_1|CCDS" "appris_principal_1" "appris_principal_1" "" "" "main" "main" 0 0 1 "non_canonical_U12|basic|MANE_Select|appris_principal_1|CCDS" "non_canonical_U12|basic|MANE_Select|appris_principal_1|CCDS" 3 3 "main" "main" 0 0 95.1612903225807 99.3067590987868 4.14546877620617
"27" "chr21" 33624760 33641680 "-" 33641680 33624760 "clu_1060" "clu_1082" "chr21:33624760:33641680:-" 1 5 6 0.626093739062609 -0.687870123459101 572 58 "-" "clu_1060" "clu_1082" 33624760 33641680 0 0 0 0 "novel annotated pair" "CRYZL1" "ENSG00000180509.12" "ENST00000290244.9+ENST00000361534.6+ENST00000381540.7+ENST00000381554.8+ENST00000413017.2+ENST00000445393.5" 0.86 1 "non_canonical_U12|basic|MANE_Select|appris_principal_1|CCDS" 2 1 "non_canonical_U12|basic|MANE_Select|appris_principal_1|CCDS" "non_canonical_U12|basic|MANE_Select|appris_principal_1|CCDS" "appris_principal_1" "appris_principal_1" "" "" "main" "main" 0 0 1 "non_canonical_U12|basic|MANE_Select|appris_principal_1|CCDS" "non_canonical_U12|basic|MANE_Select|appris_principal_1|CCDS" 2 1 "main" "main" 0 0 1.72413793103448 0.874125874125874 -0.850012056908608
"28" "chr21" 33624760 33631485 "-" 33631485 33624760 "clu_1057" "clu_1082" "chr21:33624760:33631485:-" 57 567 624 0.626093739062609 0.687870123459102 572 58 "-" "clu_1057" "clu_1082" 33624760 33631485 0 0 0 0 "annotated" "CRYZL1" "ENSG00000275464.4" "ENST00000290244.9+ENST00000361534.6+ENST00000381540.7+ENST00000381554.8+ENST00000413017.2+ENST00000445393.5" 1 1 "non_canonical_U12|basic|MANE_Select|appris_principal_1|CCDS" 2 2 "non_canonical_U12|basic|MANE_Select|appris_principal_1|CCDS" "non_canonical_U12|basic|MANE_Select|appris_principal_1|CCDS" "appris_principal_1" "appris_principal_1" "" "" "main" "main" 0 0 1 "non_canonical_U12|basic|MANE_Select|appris_principal_1|CCDS" "non_canonical_U12|basic|MANE_Select|appris_principal_1|CCDS" 2 2 "main" "main" 0 0 98.2758620689655 99.1258741258741 0.850012056908611
"29" "chr21" 33914500 33915651 "-" 33915651 33914500 "clu_1102" "clu_1138" "chr21:33914500:33915651:-" 0 8 8 0.501384986150138 Inf 5905 625 "-" "clu_1102" "clu_1138" 33914500 33915727 0 -76 76 0 "cryptic_fiveprime" "AP000311.1" "." "." NA 1 "mRNA_end_NF|cds_end_NF|basic|appris_principal_1|readthrough_transcript" 2 2 "mRNA_end_NF|cds_end_NF|basic|appris_principal_1|readthrough_transcript" "mRNA_end_NF|cds_end_NF|basic|appris_principal_1|readthrough_transcript" "appris_principal_1" "appris_principal_1" "" "" "main" "not_main_5_prime" 0 -76 1 "mRNA_end_NF|cds_end_NF|basic|appris_principal_1|readthrough_transcript" "mRNA_end_NF|cds_end_NF|basic|appris_principal_1|readthrough_transcript" 2 2 "not_main_5_prime" "main" 76 0 0 0.135478408128704 0.135478408128704
"30" "chr21" 33904021 33912288 "-" 33912288 33904021 "clu_1097" "clu_1121" "chr21:33904021:33912288:-" 5 49 54 0.927030729692703 0.0312463139254421 6470 681 "-" "clu_1097" "clu_1121" 33904021 33912288 0 0 0 0 "novel annotated pair" "ATP5PO" "ENSG00000183527.11" "ENST00000290299.7" 0.5 1 "basic|MANE_Select|appris_principal_1|CCDS" 5 3 "basic|MANE_Select|appris_principal_1|CCDS" "basic|MANE_Select|appris_principal_1|CCDS" "appris_principal_1" "appris_principal_1" "" "" "main" "main" 0 0 1 "basic|MANE_Select|appris_principal_1|CCDS" "basic|MANE_Select|appris_principal_1|CCDS" 5 3 "main" "main" 0 0 0.734214390602056 0.757341576506955 0.0231271859048995
"31" "chr21" 33589921 33591161 "-" 33591161 33589921 "clu_1019" "clu_1049" "chr21:33589921:33591161:-" 38 366 404 0.684333156668433 0.87875281255509 370 39 "-" "clu_1019" "clu_1049" 33589921 33591161 0 0 0 0 "annotated" "CRYZL1" "." "ENST00000290244.9+ENST00000381540.7+ENST00000381554.8" 1 1 "non_canonical_U12|basic|MANE_Select|appris_principal_1|CCDS" 12 12 "non_canonical_U12|basic|MANE_Select|appris_principal_1|CCDS" "non_canonical_U12|basic|MANE_Select|appris_principal_1|CCDS" "appris_principal_1" "appris_principal_1" "" "" "main" "main" 0 0 1 "non_canonical_U12|basic|MANE_Select|appris_principal_1|CCDS" "non_canonical_U12|basic|MANE_Select|appris_principal_1|CCDS" 12 12 "main" "main" 0 0 97.4358974358974 98.9189189189189 1.48302148302149
"32" "chr21" 33591211 33595731 "-" 33595731 33591211 "clu_1034" "clu_1052" "chr21:33591211:33595731:-" 2 17 19 0.838761612383876 -0.144169790829578 341 35 "-" "clu_1034" "clu_1052" 33591211 33595730 0 1 -1 0 "cryptic_fiveprime" "CRYZL1" "." "." 0 1 "non_canonical_U12|basic|MANE_Select|appris_principal_1|CCDS" 11 11 "non_canonical_U12|basic|MANE_Select|appris_principal_1|CCDS" "non_canonical_U12|basic|MANE_Select|appris_principal_1|CCDS" "appris_principal_1" "appris_principal_1" "" "" "not_main_3_prime" "not_main_5_prime" 4 1 1 "non_canonical_U12|basic|MANE_Select|appris_principal_1|CCDS" "non_canonical_U12|basic|MANE_Select|appris_principal_1|CCDS" 11 11 "not_main_5_prime" "not_main_3_prime" -1 -4 5.71428571428571 4.98533724340176 -0.728948470883955
"33" "chr21" 33909211 33914449 "-" 33914449 33909211 "clu_1099" "clu_1132" "chr21:33909211:33914449:-" 0 5 5 0.583714162858371 Inf 6260 666 "-" "clu_1099" "clu_1132" 33909211 33914449 0 0 0 0 "novel annotated pair" "AP000311.1" "ENSG00000160294.11" "ENST00000290299.7+ENST00000429238.2" 1 1 "mRNA_end_NF|cds_end_NF|basic|appris_principal_1|readthrough_transcript" 4 3 "mRNA_end_NF|cds_end_NF|basic|appris_principal_1|readthrough_transcript" "mRNA_end_NF|cds_end_NF|basic|appris_principal_1|readthrough_transcript" "appris_principal_1" "appris_principal_1" "" "" "main" "main" 0 0 1 "mRNA_end_NF|cds_end_NF|basic|appris_principal_1|readthrough_transcript" "mRNA_end_NF|cds_end_NF|basic|appris_principal_1|readthrough_transcript" 4 3 "main" "main" 0 0 0 0.0798722044728434 0.0798722044728434
