"chr" "start" "end" "strand" "five_prime" "three_prime" "five_prime_ID" "three_prime_ID" "intron_junction" "obs.wt" "obs.mut" "total.reads.per.junction" "pvalue" "three.log.odds.ratio" "three.mut.cluster.cov" "three.wt.cluster.cov" "strand_1" "clusterID_5p" "clusterID_3p" "start_match" "end_match" "start_diff" "end_diff" "fivep_diff" "threep_diff" "verdict" "gene" "ensemblID" "transcripts" "constitutive.score" "numTags" "tags" "relStart" "relEnd" "relStartTag" "relEndTag" "relStartTagClass" "relEndTagClass" "relStartTagAlt" "relEndTagAlt" "startClass" "endClass" "startDistance" "endDistance" "numTags_skipping" "tags_skipping" "curTag_skipping" "relStartExon_skipping" "relEndExon_skipping" "fivep_class" "threep_class" "fivep_distance" "threep_distance" "wt.psi" "mut.psi" "dPSI"
"16" "chr21" 33904021 33907340 "-" 33907340 33904021 "clu_1089" "clu_1121" "chr21:33904021:33907340:-" 672 6401 7073 0.726242737572624 -0.385106162996405 6415 673 "-" "clu_1089" "clu_1121" 33904021 33907340 0 0 0 0 "annotated" "ATP5PO" "ENSG00000205581.11" "ENST00000290299.7" 1 1 "basic|MANE_Select|appris_principal_1|CCDS" 5 5 "basic|MANE_Select|appris_principal_1|CCDS" "basic|MANE_Select|appris_principal_1|CCDS" "appris_principal_1" "appris_principal_1" "" "" "main" "main" 0 0 1 "basic|MANE_Select|appris_principal_1|CCDS" "basic|MANE_Select|appris_principal_1|CCDS" 5 5 "main" "main" 0 0 99.851411589896 99.7817614964926 -0.0696500934033963
"17" "chr21" 33622068 33631485 "-" 33631485 33622068 "clu_1057" "clu_1081" "chr21:33622068:33631485:-" 3 4 7 0.391666083339167 -2.00962596344142 571 60 "-" "clu_1057" "clu_1081" 33622068 33631485 0 0 0 0 "novel annotated pair" "CRYZL1" "ENSG00000160255.18" "ENST00000290244.9+ENST00000361534.6+ENST00000381540.7+ENST00000381554.8+ENST00000413017.2+ENST00000445393.5" 1 1 "non_canonical_U12|basic|MANE_Select|appris_principal_1|CCDS" 3 2 "non_canonical_U12|basic|MANE_Select|appris_principal_1|CCDS" "non_canonical_U12|basic|MANE_Select|appris_principal_1|CCDS" "appris_principal_1" "appris_principal_1" "" "" "main" "main" 0 0 1 "non_canonical_U12|basic|MANE_Select|appris_principal_1|CCDS" "non_canonical_U12|basic|MANE_Select|appris_principal_1|CCDS" 3 2 "main" "main" 0 0 5 0.700525394045534 -4.29947460595447
"18" "chr21" 33616603 33616705 "-" 33616705 33616603 "clu_1051" "clu_1077" "chr21:33616603:33616705:-" 10 128 138 0.200417995820042 0.419418132457629 574 63 "-" "clu_1051" "clu_1077" 33616603 33616705 0 0 0 0 "annotated" "CRYZL1" "ENSG00000154640.14" "ENST00000413017.2" 0.25 1 "non_canonical_U12|basic|MANE_Select|appris_principal_1|CCDS" 4 5 "non_canonical_U12|basic|MANE_Select|appris_principal_1|CCDS" "non_canonical_U12|basic|MANE_Select|appris_principal_1|CCDS" "appris_principal_1" "appris_principal_1" "" "" "not_main_3_prime" "main" -147 0 1 "non_canonical_U12|basic|MANE_Select|appris_principal_1|CCDS" "non_canonical_U12|basic|MANE_Select|appris_principal_1|CCDS" 4 5 "main" "not_main_3_prime" 0 147 15.8730158730159 22.2996515679443 6.42663569492838
"19" "chr21" 33914500 33915727 "-" 33915727 33914500 "clu_1105" "clu_1138" "chr21:33914500:33915727:-" 625 5897 6522 0.061329386706133 -Inf 5917 625 "-" "clu_1105" "clu_1138" 33914500 33915727 0 0 0 0 "annotated" "AP000311.1" "ENSG00000159055.4" "ENST00000290299.7+ENST00000429238.2" 1 1 "mRNA_end_NF|cds_end_NF|basic|appris_principal_1|readthrough_transcript" 2 2 "mRNA_end_NF|cds_end_NF|basic|appris_principal_1|readthrough_transcript" "mRNA_end_NF|cds_end_NF|basic|appris_principal_1|readthrough_transcript" "appris_principal_1" "appris_principal_1" "" "" "main" "main" 0 0 1 "mRNA_end_NF|cds_end_NF|basic|appris_principal_1|readthrough_transcript" "mRNA_end_NF|cds_end_NF|basic|appris_principal_1|readthrough_transcript" 2 2 "main" "main" 0 0 100 99.6619908737536 -0.338009126246405
"20" "chr21" 33909211 33912288 "-" 33912288 33909211 "clu_1097" "clu_1132" "chr21:33909211:33912288:-" 666 6255 6921 0.6750032499675 -0.158048520437748 6354 675 "-" "clu_1097" "clu_1132" 33909211 33912288 0 0 0 0 "annotated" "ATP5PO" "ENSG00000159131.17" "ENST00000290299.7+ENST00000429238.2" 1 1 "basic|MANE_Select|appris_principal_1|CCDS" 3 3 "basic|MANE_Select|appris_principal_1|CCDS" "basic|MANE_Select|appris_principal_1|CCDS" "appris_principal_1" "appris_principal_1" "" "" "main" "main" 0 0 1 "basic|MANE_Select|appris_principal_1|CCDS" "basic|MANE_Select|appris_principal_1|CCDS" 3 3 "main" "main" 0 0 98.6666666666667 98.4419263456091 -0.22474032105761
"21" "chr21" 33904021 33909081 "-" 33909081 33904021 "clu_1094" "clu_1121" "chr21:33904021:33909081:-" 1 4 5 0.987090129098709 -0.860916439827708 6362 673 "-" "clu_1094" "clu_1121" 33904021 33909081 0 0 0 0 "novel annotated pair" "ATP5PO" "ENSG00000173638.19" "ENST00000290299.7" 0.5 1 "basic|MANE_Select|appris_principal_1|CCDS" 5 4 "basic|MANE_Select|appris_principal_1|CCDS" "basic|MANE_Select|appris_principal_1|CCDS" "appris_principal_1" "appris_principal_1" "" "" "main" "main" 0 0 1 "basic|MANE_Select|appris_principal_1|CCDS" "basic|MANE_Select|appris_principal_1|CCDS" 5 4 "main" "main" 0 0 0.148588410104012 0.0628733102797862 -0.0857150998242257
"22" "chr21" 33583666 33584589 "-" 33584589 33583666 "clu_1014" "clu_1043" "chr21:33583666:33584589:-" 0 7 7 NA Inf 12 1 "-" "clu_1014" "clu_1043" 33583666 33584589 0 0 0 0 "annotated" "DONSON" "ENSG00000186866.16" "ENST00000303071.10+ENST00000303113.10+ENST00000432378.5+ENST00000453626.5" 1 1 "basic|MANE_Select|appris_principal_2|CCDS" 4 4 "basic|MANE_Select|appris_principal_2|CCDS" "basic|MANE_Select|appris_principal_2|CCDS" "appris_principal_2" "appris_principal_2" "" "" "main" "main" 0 0 1 "basic|MANE_Select|appris_principal_2|CCDS" "basic|MANE_Select|appris_principal_2|CCDS" 4 4 "main" "main" 0 0 0 58.3333333333333 58.3333333333333
"23" "chr21" 33912399 33914449 "-" 33914449 33912399 "clu_1099" "clu_1135" "chr21:33912399:33914449:-" 668 6239 6907 0.583714162858371 -Inf 6244 668 "-" "clu_1099" "clu_1135" 33912399 33914449 0 0 0 0 "annotated" "AP000311.1" "ENSG00000185917.13" "ENST00000290299.7+ENST00000429238.2" 1 1 "mRNA_end_NF|cds_end_NF|basic|appris_principal_1|readthrough_transcript" 3 3 "mRNA_end_NF|cds_end_NF|basic|appris_principal_1|readthrough_transcript" "mRNA_end_NF|cds_end_NF|basic|appris_principal_1|readthrough_transcript" "appris_principal_1" "appris_principal_1" "" "" "main" "main" 0 0 1 "mRNA_end_NF|cds_end_NF|basic|appris_principal_1|readthrough_transcript" "mRNA_end_NF|cds_end_NF|basic|appris_principal_1|readthrough_transcript" 3 3 "main" "main" 0 0 100 99.9199231262012 -0.0800768737988449
"24" "chr21" 33631557 33641680 "-" 33641680 33631557 "clu_1060" "clu_1085" "chr21:33631557:33641680:-" 56 515 571 0.497725022749772 -0.34613414753295 554 59 "-" "clu_1060" "clu_1085" 33631557 33641680 0 0 0 0 "annotated" "CRYZL1" "ENSG00000156261.13" "ENST00000290244.9+ENST00000361534.6+ENST00000381540.7+ENST00000381554.8+ENST00000413017.2+ENST00000445393.5" 0.86 1 "non_canonical_U12|basic|MANE_Select|appris_principal_1|CCDS" 1 1 "non_canonical_U12|basic|MANE_Select|appris_principal_1|CCDS" "non_canonical_U12|basic|MANE_Select|appris_principal_1|CCDS" "appris_principal_1" "appris_principal_1" "" "" "main" "main" 0 0 1 "non_canonical_U12|basic|MANE_Select|appris_principal_1|CCDS" "non_canonical_U12|basic|MANE_Select|appris_principal_1|CCDS" 1 1 "main" "main" 0 0 94.9152542372881 92.9602888086643 -1.95496542862388
"25" "chr21" 33624760 33641680 "-" 33641680 33624760 "clu_1060" "clu_1082" "chr21:33624760:33641680:-" 1 5 6 0.632563674363256 -0.638217518529011 554 59 "-" "clu_1060" "clu_1082" 33624760 33641680 0 0 0 0 "novel annotated pair" "CRYZL1" "ENSG00000180509.12" "ENST00000290244.9+ENST00000361534.6+ENST00000381540.7+ENST00000381554.8+ENST00000413017.2+ENST00000445393.5" 0.86 1 "non_canonical_U12|basic|MANE_Select|appris_principal_1|CCDS" 2 1 "non_canonical_U12|basic|MANE_Select|appris_principal_1|CCDS" "non_canonical_U12|basic|MANE_Select|appris_principal_1|CCDS" "appris_principal_1" "appris_principal_1" "" "" "main" "main" 0 0 1 "non_canonical_U12|basic|MANE_Select|appris_principal_1|CCDS" "non_canonical_U12|basic|MANE_Select|appris_principal_1|CCDS" 2 1 "main" "main" 0 0 1.69491525423729 0.902527075812274 -0.792388178425014
"26" "chr21" 33914510 33915727 "-" 33915727 33914510 "clu_1105" "clu_1140" "chr21:33914510:33915727:-" 0 6 6 0.5140048599514 Inf 5917 625 "-" "clu_1105" "clu_1140" 33914500 33915727 10 0 0 -10 "cryptic_threeprime" "AP000311.1" "ENSG00000159055.4" "." 0 1 "mRNA_end_NF|cds_end_NF|basic|appris_principal_1|readthrough_transcript" 2 2 "mRNA_end_NF|cds_end_NF|basic|appris_principal_1|readthrough_transcript" "mRNA_end_NF|cds_end_NF|basic|appris_principal_1|readthrough_transcript" "appris_principal_1" "appris_principal_1" "" "" "not_main_3_prime" "main" 10 0 1 "mRNA_end_NF|cds_end_NF|basic|appris_principal_1|readthrough_transcript" "mRNA_end_NF|cds_end_NF|basic|appris_principal_1|readthrough_transcript" 2 2 "main" "not_main_3_prime" 0 -10 0 0.101402737873923 0.101402737873923
"27" "chr21" 33903656 33903934 "-" 33903934 33903656 "clu_1085" "clu_1120" "chr21:33903656:33903934:-" 7 117 124 0.0928890711092889 0.57139582434566 6479 681 "-" "clu_1085" "clu_1120" 33903639 33903934 17 0 0 -17 "cryptic_threeprime" "ATP5PO" "ENSG00000159267.14" "." 0 1 "basic|MANE_Select|appris_principal_1|CCDS" 6 6 "basic|MANE_Select|appris_principal_1|CCDS" "basic|MANE_Select|appris_principal_1|CCDS" "appris_principal_1" "appris_principal_1" "" "" "not_main_3_prime" "main" 17 0 1 "basic|MANE_Select|appris_principal_1|CCDS" "basic|MANE_Select|appris_principal_1|CCDS" 6 6 "main" "not_main_3_prime" 0 -17 1.02790014684288 1.80583423367804 0.777934086835159
"28" "chr21" 33641305 33641680 "-" 33641680 33641305 "clu_1060" "clu_1088" "chr21:33641305:33641680:-" 0 6 6 0.597644023559764 Inf 554 59 "-" "clu_1060" "clu_1088" 33641305 33641680 0 0 0 0 "annotated" "CRYZL1" "ENSG00000173638.19" "ENST00000361534.6+ENST00000399442.1" 0.29 1 "non_canonical_U12|basic|MANE_Select|appris_principal_1|CCDS" 1 1 "non_canonical_U12|basic|MANE_Select|appris_principal_1|CCDS" "non_canonical_U12|basic|MANE_Select|appris_principal_1|CCDS" "appris_principal_1" "appris_principal_1" "" "" "not_main_3_prime" "main" 9748 0 1 "non_canonical_U12|basic|MANE_Select|appris_principal_1|CCDS" "non_canonical_U12|basic|MANE_Select|appris_principal_1|CCDS" 1 1 "main" "not_main_3_prime" 0 -9748 0 1.08303249097473 1.08303249097473
"29" "chr21" 33596213 33597279 "-" 33597279 33596213 "clu_1044" "clu_1064" "chr21:33596213:33597279:-" 0 18 18 0.236447635523645 Inf 447 50 "-" "clu_1044" "clu_1064" 33595836 33597279 377 0 0 -377 "cryptic_threeprime" "CRYZL1" "." "." 0 1 "non_canonical_U12|basic|MANE_Select|appris_principal_1|CCDS" 10 10 "non_canonical_U12|basic|MANE_Select|appris_principal_1|CCDS" "non_canonical_U12|basic|MANE_Select|appris_principal_1|CCDS" "appris_principal_1" "appris_principal_1" "" "" "not_main_3_prime" "main" 377 0 1 "non_canonical_U12|basic|MANE_Select|appris_principal_1|CCDS" "non_canonical_U12|basic|MANE_Select|appris_principal_1|CCDS" 10 10 "main" "not_main_3_prime" 0 -377 0 4.02684563758389 4.02684563758389
"30" "chr21" 33597401 33599149 "-" 33599149 33597401 "clu_1045" "clu_1067" "chr21:33597401:33599149:-" 50 448 498 1 0.806475865866949 452 51 "-" "clu_1045" "clu_1067" 33597401 33599149 0 0 0 0 "annotated" "CRYZL1" "ENSG00000205581.11" "ENST00000290244.9+ENST00000361534.6+ENST00000381540.7+ENST00000381554.8" 1 1 "non_canonical_U12|basic|MANE_Select|appris_principal_1|CCDS" 9 9 "non_canonical_U12|basic|MANE_Select|appris_principal_1|CCDS" "non_canonical_U12|basic|MANE_Select|appris_principal_1|CCDS" "appris_principal_1" "appris_principal_1" "" "" "main" "main" 0 0 1 "non_canonical_U12|basic|MANE_Select|appris_principal_1|CCDS" "non_canonical_U12|basic|MANE_Select|appris_principal_1|CCDS" 9 9 "main" "main" 0 0 98.0392156862745 99.1150442477876 1.07582856151311
"31" "chr21" 33624760 33631485 "-" 33631485 33624760 "clu_1057" "clu_1082" "chr21:33624760:33631485:-" 57 567 624 0.391666083339167 2.00962596344142 571 60 "-" "clu_1057" "clu_1082" 33624760 33631485 0 0 0 0 "annotated" "CRYZL1" "ENSG00000275464.4" "ENST00000290244.9+ENST00000361534.6+ENST00000381540.7+ENST00000381554.8+ENST00000413017.2+ENST00000445393.5" 1 1 "non_canonical_U12|basic|MANE_Select|appris_principal_1|CCDS" 2 2 "non_canonical_U12|basic|MANE_Select|appris_principal_1|CCDS" "non_canonical_U12|basic|MANE_Select|appris_principal_1|CCDS" "appris_principal_1" "appris_principal_1" "" "" "main" "main" 0 0 1 "non_canonical_U12|basic|MANE_Select|appris_principal_1|CCDS" "non_canonical_U12|basic|MANE_Select|appris_principal_1|CCDS" 2 2 "main" "main" 0 0 95 99.2994746059545 4.29947460595446
"32" "chr21" 33904021 33912288 "-" 33912288 33904021 "clu_1097" "clu_1121" "chr21:33904021:33912288:-" 5 49 54 0.906310936890631 0.0405618496625181 6354 675 "-" "clu_1097" "clu_1121" 33904021 33912288 0 0 0 0 "novel annotated pair" "ATP5PO" "ENSG00000183527.11" "ENST00000290299.7" 0.5 1 "basic|MANE_Select|appris_principal_1|CCDS" 5 3 "basic|MANE_Select|appris_principal_1|CCDS" "basic|MANE_Select|appris_principal_1|CCDS" "appris_principal_1" "appris_principal_1" "" "" "main" "main" 0 0 1 "basic|MANE_Select|appris_principal_1|CCDS" "basic|MANE_Select|appris_principal_1|CCDS" 5 3 "main" "main" 0 0 0.740740740740741 0.771167768334907 0.0304270275941663
"33" "chr21" 33589921 33591161 "-" 33591161 33589921 "clu_1019" "clu_1049" "chr21:33589921:33591161:-" 38 366 404 0.896411035889641 0.0678225963387611 375 39 "-" "clu_1019" "clu_1049" 33589921 33591161 0 0 0 0 "annotated" "CRYZL1" "." "ENST00000290244.9+ENST00000381540.7+ENST00000381554.8" 1 1 "non_canonical_U12|basic|MANE_Select|appris_principal_1|CCDS" 12 12 "non_canonical_U12|basic|MANE_Select|appris_principal_1|CCDS" "non_canonical_U12|basic|MANE_Select|appris_principal_1|CCDS" "appris_principal_1" "appris_principal_1" "" "" "main" "main" 0 0 1 "non_canonical_U12|basic|MANE_Select|appris_principal_1|CCDS" "non_canonical_U12|basic|MANE_Select|appris_principal_1|CCDS" 12 12 "main" "main" 0 0 97.4358974358974 97.6 0.164102564102564
